# MightyWatt Log File
# Started on	2/7/2017	2:46:19 PM
# Current [A]	Voltage [V]	Time since start [s]	Temperature [deg C]	Local[l]/Remote[r]
0.003	22.568	2.032	25	l
0.003	22.568	2.084	25	l
0.003	22.568	2.137	26	l
0.006	22.568	2.191	25	l
0.008	22.560	2.244	25	l
0.016	22.560	2.300	26	l
0.019	22.475	2.356	26	l
0.021	22.467	2.409	26	l
0.026	22.452	2.463	25	l
0.031	22.452	2.516	25	l
0.034	22.444	2.570	25	l
0.037	22.444	2.623	25	l
0.042	22.428	2.688	26	l
0.044	22.421	2.741	25	l
0.050	22.413	2.795	25	l
0.055	22.405	2.848	25	l
0.060	22.405	2.901	26	l
0.063	22.397	3.102	25	l
0.068	22.390	3.156	25	l
0.070	22.390	3.210	25	l
0.083	22.374	3.264	25	l
0.088	22.366	3.319	25	l
0.094	22.366	3.372	25	l
0.101	22.359	3.426	25	l
0.099	22.359	3.480	25	l
0.104	22.351	3.534	25	l
0.106	22.343	3.588	25	l
0.112	22.335	3.642	25	l
0.117	22.328	3.695	25	l
0.119	22.328	3.748	25	l
0.125	22.320	3.801	25	l
0.130	22.328	3.855	25	l
0.132	22.312	4.049	26	l
0.135	22.312	4.102	25	l
0.140	22.304	4.156	25	l
0.156	22.289	4.208	25	l
0.161	22.289	4.270	25	l
0.163	22.281	4.324	25	l
0.166	22.273	4.378	25	l
0.171	22.273	4.432	25	l
0.174	22.266	4.486	25	l
0.179	22.258	4.540	26	l
0.181	22.258	4.611	25	l
0.187	22.250	4.665	25	l
0.189	22.258	4.719	25	l
0.194	22.243	4.773	25	l
0.200	22.243	4.826	25	l
0.205	22.235	4.880	25	l
0.210	22.227	5.172	25	l
0.215	22.227	5.226	25	l
0.215	22.219	5.286	25	l
0.238	22.196	5.340	25	l
0.238	22.196	5.394	25	l
0.246	22.188	5.448	25	l
0.251	22.181	5.507	25	l
0.254	22.173	5.560	25	l
0.259	22.181	5.617	25	l
0.262	22.181	5.670	25	l
0.267	22.165	5.725	25	l
0.272	22.165	5.779	25	l
