# MightyWatt Log File
# Started on	1/17/2017	3:43:08 PM
# Current [A]	Voltage [V]	Time since start [s]	Temperature [deg C]	Local[l]/Remote[r]
0.003	24.326	1.241	22	l
0.021	24.133	1.509	22	l
0.060	23.962	1.778	22	l
0.094	23.807	2.046	22	l
0.127	23.668	2.314	22	l
0.163	23.528	2.584	22	l
0.200	23.389	2.851	22	l
0.233	23.265	3.116	22	l
0.269	23.133	3.383	22	l
0.303	22.994	3.650	22	l
0.339	22.862	3.921	22	l
0.373	22.723	4.190	22	l
0.409	22.583	4.458	22	l
0.445	22.436	4.725	22	l
0.479	22.297	4.992	22	l
0.515	22.165	5.261	22	l
0.549	22.018	5.530	22	l
0.585	21.855	5.796	22	l
0.621	21.693	6.066	22	l
0.657	21.538	6.333	22	l
0.691	21.359	6.602	22	l
0.727	21.174	6.870	22	l
0.761	20.972	7.138	22	l
0.797	20.755	7.406	22	l
0.833	20.445	7.673	23	l
0.869	19.988	7.937	23	l
0.903	18.710	8.205	23	l
0.939	15.294	8.472	23	l
0.976	10.731	8.738	23	l
1.012	6.734	9.005	23	l
1.048	3.524	9.272	23	l
1.084	0.953	9.536	23	l
1.118	0.036	9.803	23	l
1.133	0.034	10.070	23	l
1.157	0.034	10.338	23	l
1.177	0.034	10.608	23	l
1.203	0.035	10.876	23	l
1.221	0.036	11.143	23	l
1.247	0.036	11.412	23	l
1.270	0.036	11.679	23	l
1.294	0.036	11.946	23	l
1.317	0.036	12.214	23	l
1.343	0.038	12.481	23	l
1.366	0.038	12.747	23	l
1.389	0.038	13.018	23	l
1.418	0.039	13.284	23	l
1.441	0.039	13.552	23	l
1.472	0.039	13.821	23	l
1.503	0.039	14.090	23	l
1.534	0.040	14.357	23	l
1.563	0.042	14.626	23	l
1.601	0.042	14.892	23	l
1.635	0.043	15.161	23	l
1.679	0.044	15.429	23	l
1.731	0.046	15.696	23	l
1.803	0.047	15.964	23	l
0.006	24.326	275.939	22	l
0.029	24.094	276.208	22	l
0.060	23.923	276.476	22	l
0.096	23.745	276.744	22	l
0.132	23.583	277.014	22	l
0.166	23.389	277.281	22	l
0.202	23.234	277.551	22	l
0.238	23.079	277.819	22	l
0.272	22.901	278.088	22	l
0.308	22.738	278.358	22	l
0.344	22.638	278.627	22	l
0.378	22.483	278.895	22	l
0.414	22.359	279.162	22	l
0.448	22.266	279.430	22	l
0.484	22.111	279.697	22	l
0.518	21.995	279.966	22	l
0.551	21.863	280.234	22	l
0.588	21.716	280.502	22	l
0.626	21.584	280.771	23	l
0.660	21.421	281.041	22	l
0.696	21.266	281.311	23	l
0.730	21.135	281.578	23	l
0.769	20.918	281.849	23	l
0.800	20.685	282.115	23	l
0.838	20.298	282.385	23	l
0.872	19.283	282.653	23	l
0.911	15.658	282.922	23	l
0.944	10.917	283.189	23	l
0.981	7.462	283.460	23	l
1.019	3.628	283.726	23	l
1.056	0.978	283.993	23	l
