# MightyWatt Log File
# Started on	1/17/2017	3:05:23 PM
# Current [A]	Voltage [V]	Time since start [s]	Temperature [deg C]	Local[l]/Remote[r]
0.006	9.376	45.296	21	r
0.213	0.346	45.563	22	r
0.213	0.363	45.833	21	r
0.210	0.688	46.103	21	r
0.215	0.978	46.371	21	r
0.215	1.293	46.639	21	r
0.215	1.594	46.906	21	r
0.215	1.847	47.173	21	r
0.228	2.022	47.444	22	r
0.215	2.493	47.714	21	r
0.218	2.748	47.983	21	r
0.218	3.090	48.253	22	r
0.218	3.377	48.521	22	r
0.215	3.675	48.790	22	r
0.218	3.944	49.058	22	r
0.218	4.245	49.325	21	r
0.218	4.484	49.593	22	r
0.218	4.747	49.863	21	r
0.220	5.012	50.131	21	r
0.215	5.296	50.399	21	r
0.218	5.332	50.667	22	r
0.215	5.611	50.938	21	r
0.218	5.882	51.205	22	r
0.215	6.146	51.471	22	r
0.215	6.386	51.741	21	r
0.215	6.680	52.010	22	r
0.210	6.928	52.276	22	r
0.210	7.191	52.544	21	r
0.207	7.447	52.813	22	r
0.205	7.687	53.081	22	r
0.192	7.912	53.349	22	r
0.171	8.198	53.618	21	r
0.138	8.462	53.887	21	r
0.094	8.733	54.159	21	r
0.050	9.012	54.425	21	r
0.006	9.275	54.693	22	r
0.003	9.391	54.961	22	r
0.006	9.391	55.231	22	r
