# MightyWatt Log File
# Started on	1/23/2017	12:24:49 PM
# Current [A]	Voltage [V]	Time since start [s]	Temperature [deg C]	Local[l]/Remote[r]
0.006	19.214	12.691	23	l
0.006	19.214	12.803	23	l
0.013	19.214	12.910	23	l
0.024	18.927	13.017	23	l
0.034	18.834	13.162	23	l
0.050	18.695	13.269	23	l
0.057	18.609	13.384	23	l
0.068	18.532	13.492	23	l
0.078	18.439	13.601	23	l
0.091	18.362	13.720	23	l
0.099	18.284	13.827	23	l
0.114	18.168	13.934	23	l
0.122	18.083	14.142	23	l
0.132	18.021	14.250	23	l
0.153	17.881	14.365	23	l
0.163	17.819	14.472	23	l
0.176	17.742	14.580	23	l
0.187	17.672	14.699	23	l
0.197	17.610	14.806	23	l
0.207	17.533	14.911	23	l
0.215	17.479	15.135	23	l
0.231	17.370	15.242	23	l
0.251	17.207	15.349	23	l
0.262	17.138	15.457	23	l
0.272	17.068	15.567	23	l
0.285	16.952	15.680	23	l
0.293	16.851	15.787	23	l
0.306	16.750	15.893	23	l
0.316	16.572	16.129	23	l
0.326	16.471	16.236	23	l
0.350	15.124	16.346	23	l
0.357	13.094	16.458	23	l
0.373	6.998	16.566	23	l
0.383	4.241	16.683	23	l
0.391	2.879	16.789	23	l
0.404	0.026	16.895	23	l
